Quarter,Sales
Q1_86,1734.82699966431
Q2_86,2244.96099853516
Q3_86,2533.80499267578
Q4_86,2154.96299743652
Q1_87,1547.81899642944
Q2_87,2104.41199493408
Q3_87,2014.3629989624
Q4_87,1991.74699783325
Q1_88,1869.04999923706
Q2_88,2313.63199615479
Q3_88,2128.31999969482
Q4_88,2026.82899856567
Q1_89,1910.60399627686
Q2_89,2331.16499328613
Q3_89,2206.54999542236
Q4_89,2173.96799468994
Q1_90,2148.27799987793
Q2_90,2739.30799865723
Q3_90,2792.75399780273
Q4_90,2556.00999450684
Q1_91,2480.97399902344
Q2_91,3039.52299499512
Q3_91,3172.11599731445
Q4_91,2879.00099945068
Q1_92,2772
Q2_92,3550
Q3_92,3508
Q4_92,3243.85999298096
Q1_93,3056
Q2_93,3899
Q3_93,3629
Q4_93,3373
Q1_94,3352
Q2_94,4342
Q3_94,4461
Q4_94,4017
Q1_95,3854
Q2_95,4936
Q3_95,4895
Q4_95,4333
Q1_96,4194
Q2_96,5253
